Source_File,ID,Task description,Task reference,CAT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF DITCHING CONFIGURATION CONTROL CIRCUIT,AMM 21-26-00-710-004-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE AFT CARGO-COMPARTMENT VENTILATION-SYSTEM,AMM 21-28-00-710-006-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF MANUAL MODE SELECTION AND MANUAL MODE PRESSURE CONTROL AND FUNCTIONAL TEST OF MANUAL MODE CABIN,AMM 21-31-00-710-003-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE PRESSURE CONTROL AND MONITORING,AMM 21-31-00-710-002-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE RESIDUAL PRESSURE CONTROL UNIT (RPCU),AMM 21-31-00-710-802-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE OUTFLOW VALVE CLOSING IN DITCHING CONFIGURATION,AMM 21-31-00-710-004-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/ INSTALLATION OF THE CABIN PRESSURE CONTROLLER,AMM 21-31-34-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE PRIMARY HEAT EXCHANGER,AMM 21-52-25-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE MAIN HEAT EXCHANGER,AMM 21-52-26-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE REHEATER,AMM 21-52-31-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE CONDENSER,AMM 21-52-32-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DEACTIVATION/REACTIVATION OF THE AIR CONDITIONING PACK,AMM 21-51-00-04,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE PACK TEMPERATURE-CONTROL SYSTEM,AMM 21-61-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE COMPRESSOR OUTLET - TEMPERATURE SENSOR,AMM 21-61-11-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE WATER-EXTRACTOR TEMPERATURE SENSORS,AMM 21-61-13-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL OF THE PACK OUTLET - TEMPERATURE SENSORS,AMM 21-61-15-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL TEST OF THE COCKPIT AND CABIN TEMPERATURE CONTROL WITHOUT CFDS/MCDU.,AMM 21-63-00-720-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OPERATIONAL TEST OF THE COCKPIT AND CABIN TEMPERATURE CONTROL WITH CFDS/MCDU,AMM 21-63-00-710-004-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TS ECAM WARNING: AIR PACK 1/2 REGUL FAULT,"TSM 21-51-00, 21-61-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS MAINTENANCE STATUS: TEMP CTL 1/2,"TSM 21-51-00, 21-61-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS ECAM WARNING: AIR PACK 1/2 FAULT,"TSM 21-51-00, 21-61-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TS ECAM WARNING: PACK 1/2 OVERHEAT,"TSM 21-61-00, 21-63-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS FAILURE MESSAGE: P1 OUT TEMP SENSOR,TSM 21-61-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS FAILURE MESSGAE: P1 COMP TEMP SENSOR,TSM 21-61-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TS ECAM WARNING: VENT BLOWER FAULT,TSM 21-26-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS ECAM WARNING: VENT EXTRACT FAULT,TSM 21-26-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS ECAM WARNING: VENT AVNCS CTL FAULT,TSM 21-26-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS ECAM WARNING: VENT SKIN VALVE FAULT,TSM 21-26-00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,VENT BLOWER FAULT ALERT,MEL 21-09-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: VENT EXTRACT FAULT ALERT,MEL 21-09-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: AVIONICS BLOWER FAN,MEL 21-26-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: AVIONICS SKIN AIR OUTLET VALVE,MEL 21-26-04,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: AVIONICS SKIN AIR INLET VALVE,MEL 21-26-05,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: AVIONICS EQUIPMENT VENTILATION COMPUTER,MEL 21-26-10,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AVIONICS EXTRACT FAN,MEL 21-26-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AIR CONDITIONING PACK,MEL 21-52-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,COCKPIT AND CABIN TRIM AIR VALVE,MEL 21-63-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: HOT AIR PRESSURE REGULATING VALVE,MEL 21-63-03,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE RUDDER TRAVEL LIMITING FUNCTION,AMM 22-61-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE RUDDER TRIM FUNCTION,AMM 22-62-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE YAW DAMPER FUNCTION,AMM 22-63-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,GROUND SCANNING OF THE AFS,AMM 22-91-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE AFS,AMM 22-96-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AUTOPILOT (AP),MEL 22-10-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: FLIGHT DIRECTOR (FD),MEL 22-10-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: FAC 2,MEL 22-60-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE HIGH FREQUENCY SYSTEM,AMM 23-11-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: BITE TEST OF THE HIGH FREQUENCY SYSTEM,AMM 23-11-00-740-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE HIGH FREQUENCY TRANSCEIVER,AMM 23-11-33-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE HIGH FREQUENCY COUPLER,AMM 23-11-36-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE VERY HIGH FREQUENCY (VHF) SYSTEM,AMM 23-12-00-710-001-A AMM 23-12-00-710-803-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE VHF ANTENNAS,AMM 23-12-11-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE VERY HIGH FREQUENCY (VHF) TRANSCEIVER,AMM 23-12-33-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE MECHANIC CALL,AMM 23-42-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF THE COCKPIT VOICE RECORDER AND THE CVR CHANNEL RECORDING,AMM 23-71-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE CVR RECORDING LOGIC INCLUDING TIME DELAY RELAY,AMM 23-71-00-710-002-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL CHECK OF THE UNDERWATER LOCATOR BEACON,AMM 23-71-00-720-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,INTERFACE AND POWER-UP TEST OF THE CABIN INTERCOMMUNICATION DATA SYSTEM THROUGH THE CFDS,AMM 23-73-00-740-005-B,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: GROUND SCANNING OF THE CABIN INTERCOMMUNICATION DATA SYSTEM,AMM 23-73-00-740-012-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE CABIN AND FLIGHT CREW INTERPHONE SYSTEM,AMM 23-73-00-710-003-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE PASSENGER ADDRESS SYSTEM,AMM 23-73-00-710-005-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE CABIN SIGNS OPERATIONAL TEST OF THE PASSENGER CALL SYSTEM,AMM 23-73-00-710-017-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CIDS 1(2) MAINTENANCE MESSAGE,MEL 23-00-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,RADIO MANAGEMENT PANEL (RMP),MEL 23-13-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: CAPT AND F/O ACP,MEL 23-52-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,HEADSET/BOOMSET,MEL 23-51-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: CABIN HANDSET,MEL 23-73-06-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,COCKPIT DOOR SURVEILLANCE SYSTEM,MEL 23-72-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE INTEGRATED DRIVE GENERATOR-IDG 1(2) (CFM56 OR PW1100),AMM 24-21-51-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE QUICK ATTACH/DETACH ADAPTER OF THE IDG (CFM56 OR PW1100),AMM 24-21-41-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OPERATIONAL TEST OF THE IDG DISCONNECT AND RECONNECT FUNCTION - ENGINE STATIC (CFM56,AMM 24-21-00-710-040-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OPERATIONAL TEST OF THE IDG DISCONNECT AND RECONNECT FUNCTION-ENGINE IN OPERATION (CFM56),AMM 24-21-00-720-041-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OPERATIONAL TEST OF THE IDG DISCONNECT AND RECONNECT FUNCTION - ENGINE STATIC (PW1100),AMM 24-21-00-710-803-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OPERATIONAL TEST OF THE IDG DISCONNECT AND RECONNECT FUNCTION - ENGINE IN OPERATION (PW1100),AMM 24-21-00-710-803-A01,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVE AND DISCARD SCAVENGE AND CHARGE FILTER ELEMENTS (CFM56),AMM 24-21-00-920-040-B,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVE AND DISCARD SCAVENGE AND CHARGE FILTER ELEMENTS (PW1100),AMM 24-21-00-920-802-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TORQUE CHECK OF THE IDG QUICK ATTACH/DETACH ADAPTER TENSION-BOLT (CFM56),AMM 24-21-00-210-043-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TORQUE CHECK OF THE IDG QUICK ATTACH/DETACH ADAPTER TENSION-BOLT (PW1100),AMM 24-21-41-200-802-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE APU GENERATOR,AMM 24-23-51-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF THE GAPCU VIA THE CFDS,AMM 24-41-00-740-002-B,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TS ECAM WARNING: ELEC STATIC INV FAULT,"TSM 24-30-00, 24-38-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: TS ECAM WARNING: ELEC APU GEN FAULT,"TSM 24-20-00, 24-23-00",T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AC MAIN GENERATION,MEL 24-22-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: AC AUXILIARY GENERATION,MEL 24-23-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE CAPTAIN/FIRST OFFICER SEAT,AMM 25-11-51-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF PASSENGER SEATS,AMM 25-21-41-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE WALL-MOUNTED CABIN-ATTENDANT SEATS,AMM 25-22-41-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE FREE-STANDING CABIN-ATTENDANT SEAT,AMM 25-22-42-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE REMOVAL/INSTALLATION OF THE CABIN ATTENDANT SWIVEL-SEAT,AMM 25-22-43-000/400-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE OVERHEAD STOWAGE COMPARTMENTS OR COMPONENTS,AMM 25-24-41-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE ESCAPE SLIDE-RAFT PACK ASSEMBLY,AMM 25-62-44-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF OFFWING ESCAPE SLIDE,AMM 25-62-42-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF ESCAPE SLIDE DOOR 2 & 3,AMM 25-62-47-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE INFLATION RESERVOIR FOR THE OFFWING ESCAPE SLIDE,AMM 25-62-46-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE ESCAPE-SLIDE INFLATION RESERVOIR DOOR 2 & 3,AMM 25-62-49-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CABIN DOOR SLIDE PERMANENTLY INDICATED ARMED ON THE DOOR/ OXY SD PAGE.,MEL 25-07-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: CABIN DOOR SLIDE PERMANENTLY INDICATED NOT ARMED ON THE DOOR/ OXY SD PAGE,MEL 25-07-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CABIN OVERWING EXIT SLIDE PERMANENTLY INDICATED ARMED ON THE DOOR/ OXY SD PAGE,MEL 25-07-03,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: CABIN OVERWING EXIT SLIDE PERMANENTLY INDICATED NOT ARMED ON THE DOOR/OXY SD PAGE,MEL 25-07-04,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,PILOT SEAT OTHER MANUAL ADJUSTMENTS.,MEL 25-11-04,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: PILOT SEAT SHOULDER HARNESS,MEL 25-11-06,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: PASSENGER SEAT BACKREST,MEL 25-20-02,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CABIN ATTENDANT SEAT,MEL 25-20-09,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CARGO COMPARTMENT RESTRAINT COMPONENTS,MEL 25-50-06 WBM: CTL-LIM-FWD-BULK-NMF-00021284.0017001,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CABIN DOOR SLIDE OR SLIDE RAFT,MEL 25-62-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF LOOP/ SQUIB,AMM 26-12-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE AVIONICS SMOKE DETECTION,AMM 26-15-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF CARGO- COMPARTMENT SMOKE-DETECTION BY CFDS,AMM 26-16-00-710-802-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVE CARGO COMPARTMENT SMOKE DETECTORS FOR CLEANING,AMM 26-16-15-100-001,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE LAVATORY SMOKE-DETECTION SYSTEM,AMM 26-17-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF THE ENGINE FIRE- EXTINGUISHER BOTTLE,AMM 26-21-41-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF APU AUTO- FIRE- EXTING. CIRCUIT AND THE APU LP FUEL-VALVE OPERATION USING EACH INDIV. MOTOR IN TURN AND TEST APU EMERG. SHUTDOWN CIRCUIT,AMM 26-22-00-710-002-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,VISUAL CHECK OF FIRE EXTINGUISHER BOTTLE PRESSURE READING,AMM 26-25-00-200-005,GVI
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ENGINE 1 (2) FIRE LOOP A (B),TSM 26-12-00-02 CONF 00,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ENG FIRE DECT LOOP A B,MEL 26-12-01 OR MEL 26-12-02 OR MEL 26-12-03 OR MEL 26-12-04,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,APU FIRE EXTINGUISHER OVERPRESSURE INDICATION (RED DISC),MEL 26-22-02A,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DEACTIVATION/ REACTIVATION OF THE AILERON SERVO CONTROL,AMM 27-14-00-04,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/ INSTALLATION OF AILERON SERVO CONTROL,AMM 27-14-51-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/ INSTALLATION OF RUDDER SERVO CONTROL,AMM 27-24-51-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: REMOVAL/ INSTALLATION OF ELEVATOR SERVO CONTROL,AMM 27-34-51-04,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL CHECK OF TENSION REGULATOR (POINTER WITHIN THE LIMITS),AMM 27-21-00-220-002,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL CHECK OF POINTER ON TENSION COMPENSATOR (SCALE WITHIN LIMITS),AMM 27-41-00-220-001,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,LUBRICATION OF RUDDER PEDAL ADJUSTMENT MECHANISM,AMM 27-21-43-600-001,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CHECK RUDDER SERVOCONTROL AND HINGE BEARINGS FOR EXCESSIVE PLAY AND CONDITION,AMM 27-24-00-200-001,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: CHECK ELEVATOR SERVOCONTROL AND HINGE BEARINGS FOR EXCESSIVE PLAY AND CONDITION,AMM 27-34-00-200-001,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: OPERATIONAL TEST OF THE JAMMING PROTECTION DEVICE OF THE TRIMMABLE HORIZONTAL STABILIZER ACTUATOR,AMM 27-44-00-710-001,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CHECK OIL LEVEL OF THS ACTUATOR GEARBOX.,AMM 27-44-51-210-004,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DETAILED INSPECTION OF THS ACTUATOR BALL SCREW NUT BODY AND SCREW AND CLAW STOPS,AMM 27-44-51-220-001,DI
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DETAILED INSPECTION OF UPPER AND LOWER THS ACTUATOR ATTACHMENT (PRIMARY AND SECONDARY),AMM 27-44-51-220-002,DI
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CHECK INTEGRITY OF THS ACTUATOR BALL SCREW SHAFT (PRIMARY AND SECONDARY LOAD PATH),AMM 27-44-51-280-001,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF WTB/ POB,AMM 27-51-00-710-001,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF FLAP INTERCONNECTING STRUT AND FLAP DISCONNECT PROXIMITY SENSORS,AMM 27-51-00-710-002,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DETAILED INSPECTION OF INTERCONNECTING STRUT AND ATTACHMENTS,AMM 27-51-44-200-001,DI
